domain,logo_url
stanbicbank.co.zw,
astrazeneca.ua,https://www.google.com/s2/favicons?sz=64&domain=astrazeneca.ua
autosecuritas-ct-seysses.fr,https://www.google.com/s2/favicons?sz=64&domain=autosecuritas-ct-seysses.fr
ovb.ro,https://www.google.com/s2/favicons?sz=64&domain=ovb.ro
mazda-autohaus-hellwig-hoyerswerda.de,https://www.google.com/s2/favicons?sz=64&domain=mazda-autohaus-hellwig-hoyerswerda.de
toyota-buchreiter-eisenstadt.at,https://www.google.com/s2/favicons?sz=64&domain=toyota-buchreiter-eisenstadt.at
ebay.cn,https://www.google.com/s2/favicons?sz=64&domain=ebay.cn
greatplacetowork.com.bo,https://www.google.com/s2/favicons?sz=64&domain=greatplacetowork.com.bo
wurth-international.com,
plameco-hannover.de,https://www.google.com/s2/favicons?sz=64&domain=plameco-hannover.de
kia-moeller-wunstorf.de,https://www.google.com/s2/favicons?sz=64&domain=kia-moeller-wunstorf.de
ccusa.co.nz,https://www.google.com/s2/favicons?sz=64&domain=ccusa.co.nz
tupperware.at,
zalando.cz,https://www.google.com/s2/favicons?sz=64&domain=zalando.cz
crocs.com.uy,https://www.google.com/s2/favicons?sz=64&domain=crocs.com.uy
ymcasteuben.org,
engie.co.uk,https://www.google.com/s2/favicons?sz=64&domain=engie.co.uk
ibc-solar.jp,https://www.google.com/s2/favicons?sz=64&domain=ibc-solar.jp
lidl.com.cy,https://www.google.com/s2/favicons?sz=64&domain=lidl.com.cy
nobleprog.mx,https://www.google.com/s2/favicons?sz=64&domain=nobleprog.mx
freseniusmedicalcare.ca,https://www.google.com/s2/favicons?sz=64&domain=freseniusmedicalcare.ca
synlab.com.tr,https://www.google.com/s2/favicons?sz=64&domain=synlab.com.tr
avis.cr,https://www.google.com/s2/favicons?sz=64&domain=avis.cr
ebayglobalshipping.com,
cafelasmargaritas.es,
affidea.ba,https://www.google.com/s2/favicons?sz=64&domain=affidea.ba
bakertilly.lu,https://www.google.com/s2/favicons?sz=64&domain=bakertilly.lu
spitex-wasseramt.ch,https://www.google.com/s2/favicons?sz=64&domain=spitex-wasseramt.ch
aamcoanaheim.net,https://www.google.com/s2/favicons?sz=64&domain=aamcoanaheim.net
deheus.com.vn,https://www.google.com/s2/favicons?sz=64&domain=deheus.com.vn
veolia.com.ru,https://www.google.com/s2/favicons?sz=64&domain=veolia.com.ru
julis-sh.de,https://www.google.com/s2/favicons?sz=64&domain=julis-sh.de
aamcoconyersga.com,https://www.google.com/s2/favicons?sz=64&domain=aamcoconyersga.com
renault-tortosa.es,https://www.google.com/s2/favicons?sz=64&domain=renault-tortosa.es
oil-testing.de,https://www.google.com/s2/favicons?sz=64&domain=oil-testing.de
baywa-re.es,https://www.google.com/s2/favicons?sz=64&domain=baywa-re.es
menschenfuermenschen.at,https://www.google.com/s2/favicons?sz=64&domain=menschenfuermenschen.at
europa-union-sachsen-anhalt.de,https://www.google.com/s2/favicons?sz=64&domain=europa-union-sachsen-anhalt.de
wurthsaudi.com,https://www.google.com/s2/favicons?sz=64&domain=wurthsaudi.com
pirtek.be,https://www.google.com/s2/favicons?sz=64&domain=pirtek.be
aamcoseguin.com,https://www.google.com/s2/favicons?sz=64&domain=aamcoseguin.com
bakertilly.es,https://www.google.com/s2/favicons?sz=64&domain=bakertilly.es
mazda-autohaus-kaschmieder-waren.de,https://www.google.com/s2/favicons?sz=64&domain=mazda-autohaus-kaschmieder-waren.de
zkteco.vn,https://www.google.com/s2/favicons?sz=64&domain=zkteco.vn
allianz.nl,https://www.google.com/s2/favicons?sz=64&domain=allianz.nl
xella-colloquium.berlin,https://www.google.com/s2/favicons?sz=64&domain=xella-colloquium.berlin
unicharm.com.br,
berlitz-augsburg.de,https://www.google.com/s2/favicons?sz=64&domain=berlitz-augsburg.de
intertongn.es,https://www.google.com/s2/favicons?sz=64&domain=intertongn.es
bmw-motorrad-euromotos-lyon.fr,https://www.google.com/s2/favicons?sz=64&domain=bmw-motorrad-euromotos-lyon.fr
rsmpoland.pl,https://www.google.com/s2/favicons?sz=64&domain=rsmpoland.pl
esseskincare.sg,https://www.google.com/s2/favicons?sz=64&domain=esseskincare.sg
