domain,logo_url
stanbicbank.co.zw,https://www.stanbicbank.co.zw/static_file/assets/icons/logo-open-app-store.jpg
astrazeneca.ua,
autosecuritas-ct-seysses.fr,https://autosecuritas-ct-seysses.fr/public/img/member-site-v2/logo/autosecuritas-logo.svg
ovb.ro,
mazda-autohaus-hellwig-hoyerswerda.de,
toyota-buchreiter-eisenstadt.at,
ebay.cn,https://www.ebay.cn/newcms/style/index/logo.png
greatplacetowork.com.bo,https://www.greatplacetowork.com.bo/hubfs/raw_assets/public/Great_Place_To_Work_January2023/images/GPTW_Logo_2017.svg
wurth-international.com,https://wurth-international.com/system/layout_wl2bootstrap/bootstrap_system_images/svg_logos/logo_wuerth_svg.svg
plameco-hannover.de,https://www.plameco-hannover.de/domains/plameco-hannover.de/media/DE_Plameco_Logo.png
kia-moeller-wunstorf.de,https://kia-moeller-wunstorf.de/etc.clientlibs/settings/wcm/designs/eut/clientlib/resources/rbr/logo_kia_white-rbr.png
ccusa.co.nz,https://ccusa.co.nz/wp-content/uploads/2023/02/Logo_CCUSA_150-120.jpg
tupperware.at,
zalando.cz,
crocs.com.uy,https://f.fcdn.app/assets/commerce/www.crocs.com.uy/8a07_26fe/public/web/img/logo.svg
ymcasteuben.org,https://recliquecore.s3.amazonaws.com/imgs/ymca_logos/named_y/blue_purple.png
engie.co.uk,https://www.engie.co.uk/wp-content/themes/engie/assets/images/dist/engie-logo-blue.svg
ibc-solar.jp,https://ibc-solar.jp/config/Resources/images/ibclogo.svg
lidl.com.cy,https://lidl.com.cy/static/assets/lidl-shop-cyprus-271782.svg
nobleprog.mx,https://nobleprog.mx/sites/hitrahr/files/client_logos//ebay.png
freseniusmedicalcare.ca,https://freseniusmedicalcare.ca/assets/images/logo.png
synlab.com.tr,https://synlab.com.tr/images/header-logo.svg
avis.cr,https://avis.cr/dist/images/logo.svg
ebayglobalshipping.com,https://ebayglobalshipping.com/themes/custom/custom_barrio/app/images/logo-1.svg
cafelasmargaritas.es,
affidea.ba,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20216%2054'%3E%3C/svg%3E"
